CLPID,Name,Year,Month,WifiSessions,WifiMinutes
CLP01,ALLEGHENY LIBRARY,2016,1,1037,148513
CLP01,ALLEGHENY LIBRARY,2016,2,1064,150948
CLP01,ALLEGHENY LIBRARY,2016,3,949,129484
CLP01,ALLEGHENY LIBRARY,2016,4,934,136196
CLP01,ALLEGHENY LIBRARY,2016,5,1018,135793
CLP01,ALLEGHENY LIBRARY,2016,6,1163,169426
CLP01,ALLEGHENY LIBRARY,2016,7,1352,208802
CLP01,ALLEGHENY LIBRARY,2016,8,1436,219842
CLP01,ALLEGHENY LIBRARY,2016,9,1222,180409
CLP01,ALLEGHENY LIBRARY,2016,10,1086,156120
CLP01,ALLEGHENY LIBRARY,2016,11,1038,141003
CLP01,ALLEGHENY LIBRARY,2016,12,925,140230
CLP01,ALLEGHENY LIBRARY,2017,1,1070,167159
CLP01,ALLEGHENY LIBRARY,2017,2,1029,148976
CLP01,ALLEGHENY LIBRARY,2017,3,1400,118952
CLP01,ALLEGHENY LIBRARY,2017,4,1725,155280
CLP01,ALLEGHENY LIBRARY,2017,5,1758,154950
CLP01,ALLEGHENY LIBRARY,2017,6,1943,161154
CLP01,ALLEGHENY LIBRARY,2017,7,1804,143425
CLP01,ALLEGHENY LIBRARY,2017,8,2274,195316
CLP01,ALLEGHENY LIBRARY,2017,9,2064,170576
CLP01,ALLEGHENY LIBRARY,2017,10,1896,159538
CLP01,ALLEGHENY LIBRARY,2017,11,1587,139323
CLP01,ALLEGHENY LIBRARY,2017,12,1364,123693
CLP01,ALLEGHENY LIBRARY,2018,1,1771,156736
CLP01,ALLEGHENY LIBRARY,2018,2,1749,162832
CLP01,ALLEGHENY LIBRARY,2018,3,1775,167774
CLP01,ALLEGHENY LIBRARY,2018,4,1577,158708
CLP02,BEECHVIEW LIBRARY,2016,1,417,66555
CLP02,BEECHVIEW LIBRARY,2016,2,422,60632
CLP02,BEECHVIEW LIBRARY,2016,3,479,68589
CLP02,BEECHVIEW LIBRARY,2016,4,464,64603
CLP02,BEECHVIEW LIBRARY,2016,5,548,77307
CLP02,BEECHVIEW LIBRARY,2016,6,547,77402
CLP02,BEECHVIEW LIBRARY,2016,7,506,74085
CLP02,BEECHVIEW LIBRARY,2016,8,502,75641
CLP02,BEECHVIEW LIBRARY,2016,9,528,73111
CLP02,BEECHVIEW LIBRARY,2016,10,631,85991
CLP02,BEECHVIEW LIBRARY,2016,11,567,79351
CLP02,BEECHVIEW LIBRARY,2016,12,313,43688
CLP02,BEECHVIEW LIBRARY,2017,1,591,84279
CLP02,BEECHVIEW LIBRARY,2017,2,565,78019
CLP02,BEECHVIEW LIBRARY,2017,3,774,98701
CLP02,BEECHVIEW LIBRARY,2017,4,718,94421
CLP02,BEECHVIEW LIBRARY,2017,5,644,90069
CLP02,BEECHVIEW LIBRARY,2017,6,864,119873
CLP02,BEECHVIEW LIBRARY,2017,7,751,100529
CLP02,BEECHVIEW LIBRARY,2017,8,808,106934
CLP02,BEECHVIEW LIBRARY,2017,9,737,95242
CLP02,BEECHVIEW LIBRARY,2017,10,760,101900
CLP02,BEECHVIEW LIBRARY,2017,11,668,90373
CLP02,BEECHVIEW LIBRARY,2017,12,629,84334
CLP02,BEECHVIEW LIBRARY,2018,1,640,84057
CLP02,BEECHVIEW LIBRARY,2018,2,668,86654
CLP02,BEECHVIEW LIBRARY,2018,3,783,104743
CLP02,BEECHVIEW LIBRARY,2018,4,795,82660
CLP03,BROOKLINE LIBRARY,2016,1,444,78159
CLP03,BROOKLINE LIBRARY,2016,2,530,82313
CLP03,BROOKLINE LIBRARY,2016,3,571,96609
CLP03,BROOKLINE LIBRARY,2016,4,492,86941
CLP03,BROOKLINE LIBRARY,2016,5,479,83251
CLP03,BROOKLINE LIBRARY,2016,6,485,75390
CLP03,BROOKLINE LIBRARY,2016,7,654,108004
CLP03,BROOKLINE LIBRARY,2016,8,719,117604
CLP03,BROOKLINE LIBRARY,2016,9,667,110562
CLP03,BROOKLINE LIBRARY,2016,10,686,112378
CLP03,BROOKLINE LIBRARY,2016,11,608,102630
CLP03,BROOKLINE LIBRARY,2016,12,505,85978
CLP03,BROOKLINE LIBRARY,2017,1,599,101389
CLP03,BROOKLINE LIBRARY,2017,2,610,102187
CLP03,BROOKLINE LIBRARY,2017,3,711,71864
CLP03,BROOKLINE LIBRARY,2017,4,852,83945
CLP03,BROOKLINE LIBRARY,2017,5,966,98238
CLP03,BROOKLINE LIBRARY,2017,6,878,85794
CLP03,BROOKLINE LIBRARY,2017,7,778,84538
CLP03,BROOKLINE LIBRARY,2017,8,843,90177
CLP03,BROOKLINE LIBRARY,2017,9,724,76706
CLP03,BROOKLINE LIBRARY,2017,10,838,90990
CLP03,BROOKLINE LIBRARY,2017,11,704,76203
CLP03,BROOKLINE LIBRARY,2017,12,573,64656
CLP03,BROOKLINE LIBRARY,2018,1,591,76556
CLP03,BROOKLINE LIBRARY,2018,2,570,74043
CLP03,BROOKLINE LIBRARY,2018,3,595,75283
CLP03,BROOKLINE LIBRARY,2018,4,594,68984
CLP04,CARRICK LIBRARY,2016,1,334,51018
CLP04,CARRICK LIBRARY,2016,2,381,56467
CLP04,CARRICK LIBRARY,2016,3,474,73493
CLP04,CARRICK LIBRARY,2016,4,348,51132
CLP04,CARRICK LIBRARY,2016,5,361,55257
CLP04,CARRICK LIBRARY,2016,6,440,64289
CLP04,CARRICK LIBRARY,2016,7,433,72978
CLP04,CARRICK LIBRARY,2016,8,387,63816
CLP04,CARRICK LIBRARY,2016,9,297,53879
CLP04,CARRICK LIBRARY,2016,10,350,64181
CLP04,CARRICK LIBRARY,2016,11,366,64079
CLP04,CARRICK LIBRARY,2016,12,327,55408
CLP04,CARRICK LIBRARY,2017,1,381,57311
CLP04,CARRICK LIBRARY,2017,2,351,55187
CLP04,CARRICK LIBRARY,2017,3,542,70021
CLP04,CARRICK LIBRARY,2017,4,597,73442
CLP04,CARRICK LIBRARY,2017,5,60,5775
CLP04,CARRICK LIBRARY,2017,6,1,157
CLP04,CARRICK LIBRARY,2017,7,0,0
CLP04,CARRICK LIBRARY,2017,8,0,0
CLP04,CARRICK LIBRARY,2017,9,0,0
CLP04,CARRICK LIBRARY,2017,10,0,0
CLP04,CARRICK LIBRARY,2017,11,0,0
CLP04,CARRICK LIBRARY,2017,12,0,0
CLP04,CARRICK LIBRARY,2018,1,0,0
CLP04,CARRICK LIBRARY,2018,2,0,0
CLP04,CARRICK LIBRARY,2018,3,0,0
CLP04,CARRICK LIBRARY,2018,4,0,0
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,1,2788,434392
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,2,2976,418802
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,3,3401,505377
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,4,3075,461172
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,5,3173,457657
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,6,2876,392848
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,7,2850,368905
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,8,3093,425975
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,9,2683,361098
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,10,2588,359421
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,11,3576,498140
CLP05,DOWNTOWN & BUSINESS LIBRARY,2016,12,3089,403471
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,1,3395,438874
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,2,3152,402668
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,3,3480,322031
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,4,4153,394182
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,5,4494,426659
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,6,4395,431848
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,7,4166,429342
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,8,4497,452198
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,9,4051,420352
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,10,4392,471678
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,11,4002,403853
CLP05,DOWNTOWN & BUSINESS LIBRARY,2017,12,3483,372919
CLP05,DOWNTOWN & BUSINESS LIBRARY,2018,1,4206,466930
CLP05,DOWNTOWN & BUSINESS LIBRARY,2018,2,4513,474687
CLP05,DOWNTOWN & BUSINESS LIBRARY,2018,3,4325,482870
CLP05,DOWNTOWN & BUSINESS LIBRARY,2018,4,3930,433678
CLP06,EAST LIBERTY LIBRARY,2016,1,1435,225293
CLP06,EAST LIBERTY LIBRARY,2016,2,1704,248737
CLP06,EAST LIBERTY LIBRARY,2016,3,1800,266959
CLP06,EAST LIBERTY LIBRARY,2016,4,1667,256449
CLP06,EAST LIBERTY LIBRARY,2016,5,1629,238020
CLP06,EAST LIBERTY LIBRARY,2016,6,1784,272673
CLP06,EAST LIBERTY LIBRARY,2016,7,2447,412029
CLP06,EAST LIBERTY LIBRARY,2016,8,2059,321249
CLP06,EAST LIBERTY LIBRARY,2016,9,1793,280037
CLP06,EAST LIBERTY LIBRARY,2016,10,1908,289084
CLP06,EAST LIBERTY LIBRARY,2016,11,1786,275401
CLP06,EAST LIBERTY LIBRARY,2016,12,1509,243734
CLP06,EAST LIBERTY LIBRARY,2017,1,2093,329518
CLP06,EAST LIBERTY LIBRARY,2017,2,1945,304550
CLP06,EAST LIBERTY LIBRARY,2017,3,2411,220642
CLP06,EAST LIBERTY LIBRARY,2017,4,2038,205104
CLP06,EAST LIBERTY LIBRARY,2017,5,2307,217718
CLP06,EAST LIBERTY LIBRARY,2017,6,2538,251823
CLP06,EAST LIBERTY LIBRARY,2017,7,3091,295997
CLP06,EAST LIBERTY LIBRARY,2017,8,3008,272840
CLP06,EAST LIBERTY LIBRARY,2017,9,2594,234042
CLP06,EAST LIBERTY LIBRARY,2017,10,2655,240201
CLP06,EAST LIBERTY LIBRARY,2017,11,2439,231645
CLP06,EAST LIBERTY LIBRARY,2017,12,2210,221552
CLP06,EAST LIBERTY LIBRARY,2018,1,2285,245462
CLP06,EAST LIBERTY LIBRARY,2018,2,2603,265965
CLP06,EAST LIBERTY LIBRARY,2018,3,2409,247563
CLP06,EAST LIBERTY LIBRARY,2018,4,2415,258019
CLP07,HAZELWOOD LIBRARY,2016,1,597,87330
CLP07,HAZELWOOD LIBRARY,2016,2,557,82770
CLP07,HAZELWOOD LIBRARY,2016,3,596,91907
CLP07,HAZELWOOD LIBRARY,2016,4,658,96020
CLP07,HAZELWOOD LIBRARY,2016,5,769,108934
CLP07,HAZELWOOD LIBRARY,2016,6,837,116125
CLP07,HAZELWOOD LIBRARY,2016,7,1051,174048
CLP07,HAZELWOOD LIBRARY,2016,8,794,111296
CLP07,HAZELWOOD LIBRARY,2016,9,559,74805
CLP07,HAZELWOOD LIBRARY,2016,10,568,72113
CLP07,HAZELWOOD LIBRARY,2016,11,551,70596
CLP07,HAZELWOOD LIBRARY,2016,12,431,59460
CLP07,HAZELWOOD LIBRARY,2017,1,550,74418
CLP07,HAZELWOOD LIBRARY,2017,2,570,79646
CLP07,HAZELWOOD LIBRARY,2017,3,491,53924
CLP07,HAZELWOOD LIBRARY,2017,4,539,66371
CLP07,HAZELWOOD LIBRARY,2017,5,668,72107
CLP07,HAZELWOOD LIBRARY,2017,6,735,72304
CLP07,HAZELWOOD LIBRARY,2017,7,901,102729
CLP07,HAZELWOOD LIBRARY,2017,8,904,96938
CLP07,HAZELWOOD LIBRARY,2017,9,800,81691
CLP07,HAZELWOOD LIBRARY,2017,10,669,70376
CLP07,HAZELWOOD LIBRARY,2017,11,675,77925
CLP07,HAZELWOOD LIBRARY,2017,12,696,87328
CLP07,HAZELWOOD LIBRARY,2018,1,832,112904
CLP07,HAZELWOOD LIBRARY,2018,2,603,82302
CLP07,HAZELWOOD LIBRARY,2018,3,606,79412
CLP07,HAZELWOOD LIBRARY,2018,4,597,80112
CLP08,HILL DISTRICT LIBRARY,2016,1,711,84614
CLP08,HILL DISTRICT LIBRARY,2016,2,717,102140
CLP08,HILL DISTRICT LIBRARY,2016,3,87,12174
CLP08,HILL DISTRICT LIBRARY,2016,4,628,86907
CLP08,HILL DISTRICT LIBRARY,2016,5,738,98593
CLP08,HILL DISTRICT LIBRARY,2016,6,685,88184
CLP08,HILL DISTRICT LIBRARY,2016,7,667,92089
CLP08,HILL DISTRICT LIBRARY,2016,8,656,90837
CLP08,HILL DISTRICT LIBRARY,2016,9,729,104370
CLP08,HILL DISTRICT LIBRARY,2016,10,743,110669
CLP08,HILL DISTRICT LIBRARY,2016,11,745,110552
CLP08,HILL DISTRICT LIBRARY,2016,12,587,86060
CLP08,HILL DISTRICT LIBRARY,2017,1,913,132680
CLP08,HILL DISTRICT LIBRARY,2017,2,850,124741
CLP08,HILL DISTRICT LIBRARY,2017,3,839,78839
CLP08,HILL DISTRICT LIBRARY,2017,4,1133,111681
CLP08,HILL DISTRICT LIBRARY,2017,5,1175,118481
CLP08,HILL DISTRICT LIBRARY,2017,6,1140,105793
CLP08,HILL DISTRICT LIBRARY,2017,7,1172,108938
CLP08,HILL DISTRICT LIBRARY,2017,8,1359,136645
CLP08,HILL DISTRICT LIBRARY,2017,9,1167,125592
CLP08,HILL DISTRICT LIBRARY,2017,10,1150,126317
CLP08,HILL DISTRICT LIBRARY,2017,11,999,113094
CLP08,HILL DISTRICT LIBRARY,2017,12,989,109180
CLP08,HILL DISTRICT LIBRARY,2018,1,868,87175
CLP08,HILL DISTRICT LIBRARY,2018,2,1127,118975
CLP08,HILL DISTRICT LIBRARY,2018,3,988,119122
CLP08,HILL DISTRICT LIBRARY,2018,4,960,109554
CLP09,HOMEWOOD LIBRARY,2016,1,787,124194
CLP09,HOMEWOOD LIBRARY,2016,2,770,113347
CLP09,HOMEWOOD LIBRARY,2016,3,856,125007
CLP09,HOMEWOOD LIBRARY,2016,4,815,118013
CLP09,HOMEWOOD LIBRARY,2016,5,983,138734
CLP09,HOMEWOOD LIBRARY,2016,6,1050,147033
CLP09,HOMEWOOD LIBRARY,2016,7,724,99312
CLP09,HOMEWOOD LIBRARY,2016,8,1320,191828
CLP09,HOMEWOOD LIBRARY,2016,9,1271,188351
CLP09,HOMEWOOD LIBRARY,2016,10,1173,175276
CLP09,HOMEWOOD LIBRARY,2016,11,905,138454
CLP09,HOMEWOOD LIBRARY,2016,12,709,112027
CLP09,HOMEWOOD LIBRARY,2017,1,999,159949
CLP09,HOMEWOOD LIBRARY,2017,2,975,148075
CLP09,HOMEWOOD LIBRARY,2017,3,1080,124844
CLP09,HOMEWOOD LIBRARY,2017,4,1130,132588
CLP09,HOMEWOOD LIBRARY,2017,5,1289,137499
CLP09,HOMEWOOD LIBRARY,2017,6,1417,164269
CLP09,HOMEWOOD LIBRARY,2017,7,1540,172359
CLP09,HOMEWOOD LIBRARY,2017,8,1546,200175
CLP09,HOMEWOOD LIBRARY,2017,9,1230,141782
CLP09,HOMEWOOD LIBRARY,2017,10,1204,145948
CLP09,HOMEWOOD LIBRARY,2017,11,955,119982
CLP09,HOMEWOOD LIBRARY,2017,12,779,100076
CLP09,HOMEWOOD LIBRARY,2018,1,996,129871
CLP09,HOMEWOOD LIBRARY,2018,2,1080,142155
CLP09,HOMEWOOD LIBRARY,2018,3,984,135095
CLP09,HOMEWOOD LIBRARY,2018,4,1051,134361
CLP10,KNOXVILLE LIBRARY,2016,1,0,0
CLP10,KNOXVILLE LIBRARY,2016,2,0,0
CLP10,KNOXVILLE LIBRARY,2016,3,0,0
CLP10,KNOXVILLE LIBRARY,2016,4,0,0
CLP10,KNOXVILLE LIBRARY,2016,5,0,0
CLP10,KNOXVILLE LIBRARY,2016,6,315,47922
CLP10,KNOXVILLE LIBRARY,2016,7,744,114125
CLP10,KNOXVILLE LIBRARY,2016,8,714,83447
CLP10,KNOXVILLE LIBRARY,2016,9,495,69930
CLP10,KNOXVILLE LIBRARY,2016,10,873,129245
CLP10,KNOXVILLE LIBRARY,2016,11,1077,165453
CLP10,KNOXVILLE LIBRARY,2016,12,735,122218
CLP10,KNOXVILLE LIBRARY,2017,1,970,144553
CLP10,KNOXVILLE LIBRARY,2017,2,781,121726
CLP10,KNOXVILLE LIBRARY,2017,3,943,108774
CLP10,KNOXVILLE LIBRARY,2017,4,1278,142776
CLP10,KNOXVILLE LIBRARY,2017,5,1614,182745
CLP10,KNOXVILLE LIBRARY,2017,6,2064,228400
CLP10,KNOXVILLE LIBRARY,2017,7,1953,215446
CLP10,KNOXVILLE LIBRARY,2017,8,1438,202777
CLP10,KNOXVILLE LIBRARY,2017,9,1519,185028
CLP10,KNOXVILLE LIBRARY,2017,10,1697,205761
CLP10,KNOXVILLE LIBRARY,2017,11,1489,186696
CLP10,KNOXVILLE LIBRARY,2017,12,1113,135098
CLP10,KNOXVILLE LIBRARY,2018,1,1097,144795
