_id,CLPID,Name,Address,City,State,Zip4,County,Phone,SqFt,MoOpen,MoClose,TuOpen,TuClose,WeOpen,WeClose,ThOpen,ThClose,FrOpen,FrClose,SaOpen,SaClose,SuOpen,SuClose,Lat,Lon
1,CLP01,ALLEGHENY LIBRARY,1230 FEDERAL ST,PITTSBURGH,PA,15212-4704,Allegheny,(412) 237-1890,15005.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,12:00:00,17:00:00,40.456392,-80.006613
2,CLP02,BEECHVIEW LIBRARY,1910 BROADWAY AVE,PITTSBURGH,PA,15216-3130,Allegheny,(412) 563-2900,8000.0,10:00:00,17:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.407026,-80.027741
3,CLP03,BROOKLINE LIBRARY,708 BROOKLINE BLVD,PITTSBURGH,PA,15226-2102,Allegheny,(412) 561-1003,12651.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.394399,-80.021427
4,CLP04,CARRICK LIBRARY,1811 BROWNSVILLE RD,PITTSBURGH,PA,15210-3907,Allegheny,(412) 882-3897,4000.0,,,,,,,,,,,,,,,40.397019,-79.987547
5,CLP05,DOWNTOWN & BUSINESS LIBRARY,612 SMITHFIELD ST,PITTSBURGH,PA,15222-2506,Allegheny,(412) 281-7141,12709.0,08:30:00,18:00:00,08:30:00,18:00:00,08:30:00,18:00:00,08:30:00,18:00:00,08:30:00,17:00:00,10:00:00,17:00:00,,,40.441749,-79.997112
6,CLP06,EAST LIBERTY LIBRARY,130 SOUTH WHITFIELD ST,PITTSBURGH,PA,15206-3806,Allegheny,(412) 363-8232,40000.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.460963,-79.926502
7,CLP07,HAZELWOOD LIBRARY,5006 SECOND AVE,PITTSBURGH,PA,15207-1625,Allegheny,(412) 421-2517,7000.0,10:00:00,17:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.409805,-79.943849
8,CLP08,HILL DISTRICT LIBRARY,2177 CENTRE AVE,PITTSBURGH,PA,15219-6316,Allegheny,(412) 281-3753,8333.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.445471,-79.976706
9,CLP09,HOMEWOOD LIBRARY,7101 HAMILTON AVE,PITTSBURGH,PA,15208-2847,Allegheny,(412) 731-3080,28776.0,10:00:00,17:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.455284,-79.899213
10,CLP10,KNOXVILLE LIBRARY,400 BROWNSVILLE RD,PITTSBURGH,PA,15210-2251,Allegheny,(412) 381-6543,6700.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.413186,-79.989149
11,CLP11,LAWRENCEVILLE LIBRARY,279 FISK ST,PITTSBURGH,PA,15201-2898,Allegheny,(412) 682-3668,10345.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.467605,-79.959082
12,CLP12,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,4724 BAUM BLVD,PITTSBURGH,PA,15213-1321,Allegheny,(412) 687-2440,34425.0,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,,,40.453817,-79.949183
13,CLP13,MAIN (OAKLAND) LIBRARY,4400 FORBES AVENUE,PITTSBURGH,PA,15213-4080,Allegheny,(412) 622-3114,204048.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:30:00,10:00:00,17:30:00,12:00:00,17:00:00,40.443458,-79.949011
14,CLP14,MOUNT WASHINGTON LIBRARY,315 GRANDVIEW AVE,PITTSBURGH,PA,15211-1549,Allegheny,(412) 381-3380,4915.0,10:00:00,17:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.433509,-80.010487
15,CLP15,SHERADEN LIBRARY,720 SHERWOOD AVE,PITTSBURGH,PA,15204-1724,Allegheny,(412) 331-1135,4591.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.45521,-80.056555
16,CLP16,SOUTH SIDE LIBRARY,2205 E CARSON ST,PITTSBURGH,PA,15203-2107,Allegheny,(412) 431-0505,11610.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,12:00:00,17:00:00,40.428631,-79.974224
17,CLP17,SQUIRREL HILL LIBRARY,5801 FORBES AVE,PITTSBURGH,PA,15217-1601,Allegheny,(412) 422-9650,26706.0,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,12:00:00,17:00:00,40.438574,-79.922623
18,CLP18,WEST END LIBRARY,47 WABASH AVE,PITTSBURGH,PA,15220-5422,Allegheny,(412) 921-1717,5000.0,10:00:00,17:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.440057,-80.034045
19,CLP19,WOODS RUN LIBRARY,1201 WOODS RUN AVE,PITTSBURGH,PA,15212-2335,Allegheny,(412) 761-3730,5745.0,10:00:00,17:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,40.476254,-80.030204
